Row,Name,Species,Species.Eq.1,Species.Eq.2,Species.Eq.3,Species.Eq.4,Species.Eq.5,Species.Eq.6,Species.Eq.7,Weight_g,Weight_g.Ln,Weight_g.Ln.Model.4,Weight_g.Ln.Model.4.Exp,Weight_g.Ln.Model.4.Resid,Length_cm,Length_cm.Ln,Height_pct,Height_pct.Ln,Width_pct,Width_pct.Ln,,,
1,Bream,1,1,0,0,0,0,0,0,242,5.48893772615669,5.60518600470048,271.832482851758,-0.116248278543793,30,3.40119738166216,38.4,3.64805745959368,13.4,2.59525470695687,,,
2,Bream,1,1,0,0,0,0,0,0,290,5.66988092298052,5.76625354775903,319.339100052441,-0.0963726247785104,31.2,3.44041809481544,40,3.68887945411394,13.8,2.62466859216316,,,
3,Bream,1,1,0,0,0,0,0,0,340,5.82894561761021,5.80059950076105,330.497634114076,0.0283461168491534,31.1,3.43720781918519,39.8,3.68386691229039,15.1,2.71469474382088,,,
4,Bream,1,1,0,0,0,0,0,0,363,5.89440283426485,5.92881733202184,375.70991088705,-0.0344144977569911,33.5,3.51154543883102,38,3.63758615972639,13.3,2.58776403522771,,,
5,Bream,1,1,0,0,0,0,0,0,430,6.06378520868761,6.01590821618107,409.897945861297,0.0478769925065423,34,3.52636052461616,36.6,3.60004824040732,15.1,2.71469474382088,,,
6,Bream,1,1,0,0,0,0,0,0,450,6.10924758276437,6.09028113404238,441.545527177482,0.0189664487219874,34.7,3.54673968695281,39.2,3.66867674679642,14.2,2.65324196460721,,,
7,Bream,1,1,0,0,0,0,0,0,500,6.21460809842219,6.1430030991058,465.44926437701,0.0716049993163939,34.5,3.54095932403731,41.1,3.71600812150219,15.3,2.72785282839839,,,
8,Bream,1,1,0,0,0,0,0,0,390,5.96614673912369,6.03373397478068,417.270200495585,-0.0675872356569904,35,3.55534806148941,36.2,3.58905911883173,13.4,2.59525470695687,,,
9,Bream,1,1,0,0,0,0,0,0,450,6.10924758276437,6.12157567230993,455.581977156221,-0.0123280895455649,35.1,3.55820113047182,39.9,3.68637632389582,13.8,2.62466859216316,,,
10,Bream,1,1,0,0,0,0,0,0,500,6.21460809842219,6.20134897552168,493.414196026015,0.0132591229005143,36.2,3.58905911883173,39.3,3.67122451887522,13.7,2.61739583283408,,,
11,Bream,1,1,0,0,0,0,0,0,475,6.16331480403464,6.21815187962475,501.775033909551,-0.0548370755901093,36.2,3.58905911883173,39.4,3.67376581630389,14.1,2.64617479738412,,,
12,Bream,1,1,0,0,0,0,0,0,500,6.21460809842219,6.19239227530296,489.014565486859,0.0222158231192271,36.2,3.58905911883173,39.7,3.68135118769314,13.3,2.58776403522771,,,
13,Bream,1,1,0,0,0,0,0,0,500,6.21460809842219,6.12287092767369,456.172454482673,0.0917371707485035,36.4,3.5945687746427,37.8,3.63230910262554,12,2.484906649788,,,
14,Bream,1,1,0,0,0,0,0,0,,,,,,37.3,3.61899332664977,37.3,3.61899332664977,13.6,2.61006979274201,,,
15,Bream,1,1,0,0,0,0,0,0,600,6.39692965521615,6.30638348433963,548.059295378352,0.0905461708765127,37.2,3.6163087612791,40.2,3.69386699562498,13.9,2.63188884013665,,,
16,Bream,1,1,0,0,0,0,0,0,600,6.39692965521615,6.36728698175683,582.475416873389,0.0296426734593194,37.2,3.6163087612791,41.5,3.72569342723665,15,2.70805020110221,,,
17,Bream,1,1,0,0,0,0,0,0,700,6.5510803350434,6.36769232020975,582.711564414337,0.183388014833652,38.3,3.6454498961866,38.8,3.65842024662923,13.8,2.62466859216316,,,
18,Bream,1,1,0,0,0,0,0,0,700,6.5510803350434,6.37191528947472,585.177540647378,0.179165045568687,38.5,3.65065824129374,38.8,3.65842024662923,13.5,2.60268968544438,,,
19,Bream,1,1,0,0,0,0,0,0,610,6.41345895716736,6.40000388054028,601.847373360527,0.0134550766270749,38.6,3.65325227647079,40.5,3.70130197411249,13.3,2.58776403522771,,,
20,Bream,1,1,0,0,0,0,0,0,650,6.47697236288968,6.411917937134,609.060701704283,0.0650544257556778,38.7,3.65583960003574,37.4,3.62167070442049,14.8,2.69462718077007,,,
21,Bream,1,1,0,0,0,0,0,0,575,6.35437004079735,6.46401104774696,641.629508629054,-0.109641006949609,39.5,3.67630067190708,38.3,3.6454498961866,14.1,2.64617479738412,,,
22,Bream,1,1,0,0,0,0,0,0,685,6.52941883826223,6.46717023343984,643.659740644257,0.0622486048223898,39.2,3.66867674679642,40.8,3.70868208141012,13.7,2.61739583283408,,,
23,Bream,1,1,0,0,0,0,0,0,620,6.42971947803914,6.46212721139041,640.421921438716,-0.0324077333512705,39.7,3.68135118769314,39.1,3.66612246699132,13.3,2.58776403522771,,,
24,Bream,1,1,0,0,0,0,0,0,680,6.52209279817015,6.57987160510601,720.446821617249,-0.057778806935862,40.6,3.70376806660769,38.1,3.64021428213266,15.1,2.71469474382088,,,
25,Bream,1,1,0,0,0,0,0,0,700,6.5510803350434,6.55854060276263,705.241715392652,-0.00746026771922903,40.5,3.70130197411249,40.1,3.69137633431252,13.8,2.62466859216316,,,
26,Bream,1,1,0,0,0,0,0,0,725,6.58617165485467,6.62349237353875,752.568764270764,-0.0373207186840743,40.9,3.71113006304876,40,3.68887945411394,14.8,2.69462718077007,,,
27,Bream,1,1,0,0,0,0,0,0,720,6.5792512120101,6.61313424725288,744.81379478456,-0.0338830352427824,40.6,3.70376806660769,40.3,3.69635146895264,15,2.70805020110221,,,
28,Bream,1,1,0,0,0,0,0,0,714,6.57088296233958,6.63885902406303,764.222535864466,-0.0679760617234466,41.5,3.72569342723665,39.8,3.68386691229039,14.1,2.64617479738412,,,
29,Bream,1,1,0,0,0,0,0,0,850,6.74523634948436,6.68821435832326,802.887302343391,0.0570219911610996,41.6,3.72810016726722,40.6,3.70376806660769,14.9,2.70136121295141,,,
30,Bream,1,1,0,0,0,0,0,0,1000,6.90775527898214,6.84103038574891,935.452515257697,0.0667248932332249,42.6,3.75185425327532,44.5,3.79548918917219,15.5,2.7408400239252,,,
31,Bream,1,1,0,0,0,0,0,0,920,6.82437367004309,6.84828231906979,942.261012067112,-0.0239086490266986,44.1,3.7864597824528,40.9,3.71113006304876,14.3,2.66025953726586,,,
32,Bream,1,1,0,0,0,0,0,0,955,6.86171134048073,6.84459634777195,938.794258124379,0.017114992708783,44,3.78418963391826,41.1,3.71600812150219,14.3,2.66025953726586,,,
