Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
05/02/2010,42.31,2.572,211.0963582,8.106,FALSE
12/02/2010,38.51,2.548,211.24216980000000,8.106,TRUE
19/02/2010,39.93,2.5140000000000000,211.2891429,8.106,FALSE
26/02/2010,46.63,2.5610000000000000,211.3196429,8.106,FALSE
05/03/2010,46.5,2.625,211.3501429,8.106,FALSE
12/03/2010,57.79,2.667,211.3806429,8.106,FALSE
19/03/2010,54.58,2.72,211.21563500000000,8.106,FALSE
26/03/2010,51.45,2.7320000000000000,211.0180424,8.106,FALSE
02/04/2010,62.27,2.719,210.82044990000000,7.808,FALSE
09/04/2010,65.86,2.77,210.62285740000000,7.808,FALSE
16/04/2010,66.32,2.8080000000000000,210.4887,7.808,FALSE
23/04/2010,64.84,2.795,210.4391228,7.808,FALSE
30/04/2010,67.41,2.78,210.3895456,7.808,FALSE
07/05/2010,72.55,2.835,210.33996840000000,7.808,FALSE
14/05/2010,74.78,2.8540000000000000,210.3374261,7.808,FALSE
21/05/2010,76.44,2.826,210.6170934,7.808,FALSE
28/05/2010,80.44,2.759,210.89676060000000,7.808,FALSE
04/06/2010,80.69,2.705,211.1764278,7.808,FALSE
11/06/2010,80.43,2.668,211.4560951,7.808,FALSE
18/06/2010,84.11,2.637,211.4537719,7.808,FALSE
25/06/2010,84.34,2.653,211.33865260000000,7.808,FALSE
02/07/2010,80.91,2.6690000000000000,211.2235333,7.787000000000000,FALSE
09/07/2010,80.48,2.642,211.108414,7.787000000000000,FALSE
16/07/2010,83.15,2.623,211.10038540000000,7.787000000000000,FALSE
23/07/2010,83.36,2.608,211.2351443,7.787000000000000,FALSE
30/07/2010,81.84,2.64,211.36990320000000,7.787000000000000,FALSE
06/08/2010,87.16,2.627,211.5046621,7.787000000000000,FALSE
13/08/2010,87.0,2.6920000000000000,211.63942110000000,7.787000000000000,FALSE
20/08/2010,86.65,2.6640000000000000,211.60336330000000,7.787000000000000,FALSE
27/08/2010,85.22,2.6190000000000000,211.5673056,7.787000000000000,FALSE
03/09/2010,81.21,2.577,211.53124790000000,7.787000000000000,FALSE
10/09/2010,78.69,2.565,211.49519020000000,7.787000000000000,TRUE
17/09/2010,82.11,2.582,211.5224596,7.787000000000000,FALSE
24/09/2010,80.94,2.6240000000000000,211.59722460000000,7.787000000000000,FALSE
01/10/2010,71.89,2.603,211.6719895,7.838000000000000,FALSE
08/10/2010,63.93,2.633,211.74675440000000,7.838000000000000,FALSE
15/10/2010,67.18,2.72,211.81374360000000,7.838000000000000,FALSE
22/10/2010,69.86,2.725,211.8612937,7.838000000000000,FALSE
29/10/2010,69.64,2.716,211.9088438,7.838000000000000,FALSE
05/11/2010,58.74,2.6890000000000000,211.95639390000000,7.838000000000000,FALSE
12/11/2010,59.61,2.728,212.003944,7.838000000000000,FALSE
19/11/2010,51.41,2.7710000000000000,211.88967370000000,7.838000000000000,FALSE
26/11/2010,64.52,2.735,211.74843330000000,7.838000000000000,TRUE
03/12/2010,49.27,2.708,211.60719300000000,7.838000000000000,FALSE
10/12/2010,46.33,2.843,211.4659526,7.838000000000000,FALSE
17/12/2010,49.84,2.8690000000000000,211.40531240000000,7.838000000000000,FALSE
24/12/2010,52.33,2.886,211.4051222,7.838000000000000,FALSE
31/12/2010,48.43,2.943,211.4049321,7.838000000000000,TRUE
07/01/2011,48.27,2.9760000000000000,211.40474190000000,7.742000000000000,FALSE
14/01/2011,35.4,2.983,211.4574109,7.742000000000000,FALSE
21/01/2011,44.04,3.016,211.82723430000000,7.742000000000000,FALSE
28/01/2011,43.83,3.01,212.19705770000000,7.742000000000000,FALSE
04/02/2011,42.27,2.989,212.56688120000000,7.742000000000000,FALSE
11/02/2011,36.39,3.022,212.9367046,7.742000000000000,TRUE
18/02/2011,57.36,3.045,213.2478853,7.742000000000000,FALSE
25/02/2011,62.9,3.065,213.535609,7.742000000000000,FALSE
04/03/2011,59.58,3.2880000000000000,213.8233327,7.742000000000000,FALSE
11/03/2011,53.56,3.4590000000000000,214.11105640000000,7.742000000000000,FALSE
18/03/2011,62.76,3.488,214.3627114,7.742000000000000,FALSE
25/03/2011,69.97,3.4730000000000000,214.59993890000000,7.742000000000000,FALSE
01/04/2011,59.17,3.5240000000000000,214.8371664,7.682,FALSE
08/04/2011,67.84,3.622,215.07439390000000,7.682,FALSE
15/04/2011,71.27,3.7430000000000000,215.29185610000000,7.682,FALSE
22/04/2011,72.99,3.807,215.45990530000000,7.682,FALSE
29/04/2011,72.03,3.81,215.62795440000000,7.682,FALSE
06/05/2011,64.61,3.906,215.7960035,7.682,FALSE
13/05/2011,75.64,3.8990000000000000,215.9640526,7.682,FALSE
