,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
0,05/02/2010,42.31,2.572,211.0963582,8.106,False
1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True
2,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False
3,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False
4,05/03/2010,46.5,2.625,211.3501429,8.106,False
5,12/03/2010,57.79,2.667,211.3806429,8.106,False
6,19/03/2010,54.58,2.72,211.21563500000002,8.106,False
7,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False
8,02/04/2010,62.27,2.719,210.82044989999997,7.808,False
9,09/04/2010,65.86,2.77,210.62285740000002,7.808,False
10,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False
11,23/04/2010,64.84,2.795,210.4391228,7.808,False
12,30/04/2010,67.41,2.78,210.3895456,7.808,False
13,07/05/2010,72.55,2.835,210.33996839999998,7.808,False
14,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False
15,21/05/2010,76.44,2.826,210.6170934,7.808,False
16,28/05/2010,80.44,2.759,210.89676060000002,7.808,False
17,04/06/2010,80.69,2.705,211.1764278,7.808,False
18,11/06/2010,80.43,2.668,211.4560951,7.808,False
19,18/06/2010,84.11,2.637,211.4537719,7.808,False
20,25/06/2010,84.34,2.653,211.33865260000002,7.808,False
21,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False
22,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False
23,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False
24,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False
25,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False
26,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False
27,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False
28,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False
29,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False
30,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False
31,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True
32,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False
33,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False
34,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False
35,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False
36,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False
37,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False
38,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False
39,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False
40,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False
41,19/11/2010,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,False
42,26/11/2010,64.52,2.735,211.74843330000002,7.837999999999999,True
43,03/12/2010,49.27,2.708,211.60719300000002,7.837999999999999,False
44,10/12/2010,46.33,2.843,211.4659526,7.837999999999999,False
45,17/12/2010,49.84,2.8689999999999998,211.40531239999999,7.837999999999999,False
46,24/12/2010,52.33,2.886,211.4051222,7.837999999999999,False
47,31/12/2010,48.43,2.943,211.4049321,7.837999999999999,True
48,07/01/2011,48.27,2.9760000000000004,211.40474190000003,7.742000000000001,False
49,14/01/2011,35.4,2.983,211.4574109,7.742000000000001,False
50,21/01/2011,44.04,3.016,211.82723430000004,7.742000000000001,False
51,28/01/2011,43.83,3.01,212.19705770000002,7.742000000000001,False
52,04/02/2011,42.27,2.989,212.56688119999998,7.742000000000001,False
53,11/02/2011,36.39,3.022,212.9367046,7.742000000000001,True
54,18/02/2011,57.36,3.045,213.2478853,7.742000000000001,False
55,25/02/2011,62.9,3.065,213.535609,7.742000000000001,False
56,04/03/2011,59.58,3.2880000000000003,213.8233327,7.742000000000001,False
57,11/03/2011,53.56,3.4589999999999996,214.11105640000002,7.742000000000001,False
58,18/03/2011,62.76,3.488,214.3627114,7.742000000000001,False
59,25/03/2011,69.97,3.4730000000000003,214.59993889999998,7.742000000000001,False
60,01/04/2011,59.17,3.5239999999999996,214.8371664,7.682,False
61,08/04/2011,67.84,3.622,215.07439390000002,7.682,False
62,15/04/2011,71.27,3.7430000000000003,215.29185609999996,7.682,False
63,22/04/2011,72.99,3.807,215.45990530000003,7.682,False
64,29/04/2011,72.03,3.81,215.62795440000002,7.682,False
65,06/05/2011,64.61,3.906,215.7960035,7.682,False
66,13/05/2011,75.64,3.8989999999999996,215.9640526,7.682,False
