,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
0,1,05/02/2010,42.31,2.572,211.0963582,8.106,False
1,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True
2,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False
3,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False
4,1,05/03/2010,46.5,2.625,211.3501429,8.106,False
5,1,12/03/2010,57.79,2.667,211.3806429,8.106,False
6,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False
7,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False
8,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False
9,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False
10,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False
11,1,23/04/2010,64.84,2.795,210.4391228,7.808,False
12,1,30/04/2010,67.41,2.78,210.3895456,7.808,False
13,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False
14,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False
15,1,21/05/2010,76.44,2.826,210.6170934,7.808,False
16,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False
17,1,04/06/2010,80.69,2.705,211.1764278,7.808,False
18,1,11/06/2010,80.43,2.668,211.4560951,7.808,False
19,1,18/06/2010,84.11,2.637,211.4537719,7.808,False
20,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False
21,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False
22,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False
23,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False
24,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False
25,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False
26,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False
27,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False
28,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False
29,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False
30,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False
31,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True
32,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False
33,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False
34,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False
35,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False
36,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False
37,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False
38,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False
39,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False
40,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False
41,1,19/11/2010,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,False
42,1,26/11/2010,64.52,2.735,211.74843330000002,7.837999999999999,True
43,1,03/12/2010,49.27,2.708,211.60719300000002,7.837999999999999,False
44,1,10/12/2010,46.33,2.843,211.4659526,7.837999999999999,False
45,1,17/12/2010,49.84,2.8689999999999998,211.40531239999999,7.837999999999999,False
46,1,24/12/2010,52.33,2.886,211.4051222,7.837999999999999,False
47,1,31/12/2010,48.43,2.943,211.4049321,7.837999999999999,True
48,1,07/01/2011,48.27,2.9760000000000004,211.40474190000003,7.742000000000001,False
49,1,14/01/2011,35.4,2.983,211.4574109,7.742000000000001,False
50,1,21/01/2011,44.04,3.016,211.82723430000004,7.742000000000001,False
51,1,28/01/2011,43.83,3.01,212.19705770000002,7.742000000000001,False
52,1,04/02/2011,42.27,2.989,212.56688119999998,7.742000000000001,False
53,1,11/02/2011,36.39,3.022,212.9367046,7.742000000000001,True
